"","school","preveducation","preveducationtype","prevCC","matrix_pre_1","matrix_pre_2","matrix_pre_3","matrix_pre_4","matrix_pre_5","matrix_pre_6","cc_choice"
"836","Falls Lake Academy",0,"",NA,2,4,4,4,4,3,1
"837","Rocky Mount High School",0,"",NA,1,3,4,3,4,2,1
"840","Charlotte Catholic High School",0,"",NA,3,3,4,3,4,3,1
"841","Apex Friendship High School",1,"PowerPoint",NA,2,4,4,3,4,3,1
"842","Apex Friendship High School",1,"Video",NA,3,4,4,4,4,4,1
"843","Mountain Heritage High School",0,"",NA,4,4,4,4,4,3,1
"844","Apex Friendship High School",0,"",NA,3,3,4,3,4,4,1
"845","Apex Friendship High School",0,"",NA,4,3,4,4,4,4,1
"853","Mountain Heritage High School",0,"",NA,3,3,4,3,4,3,1
"857","Rocky Mount High School",0,"",NA,3,3,4,3,4,3,1
"860","Charlotte Catholic High School",0,"",NA,1,4,4,4,4,4,1
"863","Apex Friendship High School",0,"",NA,3,3,4,3,4,4,1
"865","Pamlico County High School",2,"Video",NA,4,3,4,4,4,4,1
"866","Wake Forest High School",0,"",NA,4,4,4,4,4,4,1
"867","Falls Lake Academy",0,"",NA,3,4,4,3,4,3,1
"868","Apex Friendship High School",0,"",NA,3,3,4,3,4,3,1
"869","Montgomery Central High School",2,"Handout",NA,3,4,4,4,4,4,1
"870","Northwest Cabarrus High School",0,"",NA,3,4,4,3,4,4,1
"871","Pamlico County High School",2,"Video",NA,4,3,4,3,4,3,1
"872","Pamlico County High School",2,"Virtual Reality (VR)",NA,4,3,4,4,4,3,1
"874","Apex Friendship High School",1,"Handout",NA,3,4,4,4,4,4,1
"875","Apex Friendship High School",1,"Other",NA,3,4,4,4,4,4,1
"876","Apex Friendship High School",0,"",NA,1,4,4,4,4,4,1
"877","Robinson, Jay M. High School",0,"",NA,4,3,4,2,4,3,1
"879","Montgomery Central High School",0,"",NA,4,3,4,4,4,3,1
"880","Apex Friendship High School",0,"",NA,4,3,4,4,4,4,1
"881","Charlotte Catholic High School",0,"",NA,3,3,4,4,4,4,0
"882","Apex Friendship High School",4,"Handout,PowerPoint,Video",NA,3,4,4,4,4,4,1
"884","Pamlico County High School",0,"",NA,3,3,4,3,4,4,1
